2.8991e+01,1.0477e+02
1.1709e+01,8.2564e+01
6.1070e+01,1.4595e+02
4.0467e+01,1.0661e+02
1.1250e+02,9.7608e+01
1.1456e+02,1.1012e+02
5.2063e+01,1.0966e+02
1.0185e+02,7.4262e+01
1.5144e+02,8.2279e+01
1.8297e+02,9.0294e+01
1.8146e+02,9.2630e+01
2.1925e+02,8.9197e+01
2.1281e+02,1.2142e+02
2.1012e+02,5.5357e+01
2.5776e+02,6.0109e+01
2.7841e+02,1.2918e+01
2.6835e+02,3.2104e+01
2.8033e+02,4.7892e+01
3.1375e+02,4.0598e+01
3.0008e+02,8.7405e+01
3.7303e+02,7.3369e+01
3.3836e+02,1.0590e+02
3.5721e+02,1.8123e+01
3.5036e+02,4.2510e+01
2.9282e+02,7.2736e+01
3.6419e+02,1.9090e+01
3.7875e+02,8.2838e+01
4.3641e+02,5.1577e+01
3.4717e+02,8.0767e+01
4.2362e+02,4.4446e+01
4.4900e+02,2.2566e+01
4.1692e+02,2.2219e+01
4.3506e+02,-2.0042e+00
4.5824e+02,3.6512e+01
4.4785e+02,3.0628e+01
4.5888e+02,4.8382e+01
4.8831e+02,2.5121e+01
4.4536e+02,1.3169e+01
4.8968e+02,4.9984e+01
5.1412e+02,2.4961e+01
4.9515e+02,4.2268e+01
4.9871e+02,6.8267e+00
4.7807e+02,1.0144e+01
5.2215e+02,1.6687e+01
4.7194e+02,7.7977e+00
5.0974e+02,2.6583e+01
4.6127e+02,1.1252e+01
5.5360e+02,6.3352e+01
4.8226e+02,1.6862e+01
5.3272e+02,-2.6390e-01
5.0896e+02,9.4077e+00
5.0588e+02,-7.5975e+00
5.1523e+02,1.8242e+01
5.2007e+02,9.5479e+00
5.2466e+02,4.7749e+01
4.8237e+02,6.4646e+00
5.7977e+02,1.3895e+01
4.7269e+02,-5.0458e+00
4.8003e+02,8.0138e+00
4.9253e+02,-2.0565e+01
5.1509e+02,-2.3471e+00
4.5657e+02,-4.0384e+01
5.1456e+02,2.3875e+01
4.4310e+02,-5.3432e+01
4.6398e+02,-1.8132e+01
4.8773e+02,-1.3153e+01
4.4457e+02,-1.4365e+01
4.9098e+02,-2.4684e+01
4.7574e+02,-6.6628e+01
4.4726e+02,-8.0540e+01
3.8283e+02,-3.5191e+01
3.8298e+02,-5.1067e+01
4.3744e+02,-5.9806e+01
4.3999e+02,-6.0799e+01
3.8235e+02,-6.4066e+01
3.6028e+02,-1.0054e+02
3.7080e+02,-5.8474e+01
3.7073e+02,8.3547e+00
4.3668e+02,-7.3510e+01
3.4169e+02,-6.9361e+01
3.1609e+02,-5.8179e+01
3.5558e+02,-3.4635e+01
3.0967e+02,-8.8962e+01
2.8424e+02,-6.3179e+01
2.8676e+02,-3.9657e+01
2.5819e+02,-7.4267e+01
2.5941e+02,-2.1108e+01
2.6998e+02,-4.8326e+01
2.5239e+02,-1.1170e+02
2.1871e+02,-8.4229e+01
1.7027e+02,-6.3681e+01
1.1400e+02,-1.3254e+02
1.7874e+02,-9.1583e+01
1.2694e+02,-1.2232e+02
1.2984e+02,-9.0026e+01
1.1739e+02,-1.2880e+02
1.4808e+02,-7.4108e+01
9.2014e+01,-1.0550e+02
6.4749e+01,-9.9807e+01
3.6423e+01,-7.8312e+01
